mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,s_demand
0.5,0.002,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0058,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0096,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0134,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0172,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.021,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0248,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0286,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0324,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0362,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.04,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0438,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0476,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0514,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0552,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.059,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0628,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0666,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0704,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0742,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.078,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0818,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0856,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0894,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.0932,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.097,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1008,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1046,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1084,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1122,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.116,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1198,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1236,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1274,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1312,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.135,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1388,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1426,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1464,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1502,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.154,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1578,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1616,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1654,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1692,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.173,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1768,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1806,0.475,1.4,0.2,0.3,806.9393718,4,0.25
0.5,0.1844,0.475,1.4,0.2,0.3,806.9393718,4,0.25