s_supply,r_s ,r_k,zeta_storage
0.15,465,1400,0.1
0.05,465,1400,0.1
0.02,465,1400,0.1
0.17,465,1400,0.1
0.2,465,1400,0.1
0.22,465,1400,0.1
0.15,100,1400,0.1
0.15,200,1400,0.1
0.15,300,1400,0.1
0.15,500,1400,0.1
0.15,500,1400,0.1
0.15,600,1400,0.1
0.15,465,1400,0.5
0.15,100,1400,0.5
0.15,200,1400,0.5
0.15,300,1400,0.5
0.15,500,1400,0.5
0.15,500,1400,0.5
0.15,600,1400,0.5
0.15,465,1400,0.5
0.05,465,1400,0.5
0.02,465,1400,0.5
0.17,465,1400,0.5
0.2,465,1400,0.5
0.15,465,1400,0.5
0.15,465,200,0.5
0.15,465,500,0.5
0.15,465,700,0.5
0.15,465,1000,0.5
0.15,465,1400,0.5
0.15,465,1700,0.5