mean_supply,var_supply,r_s ,r_k,zeta_storage,eta,D_bar,tol_pi,K_upper,K_Lower,S_upper,S_Lower
0.5,0.0001,0.475,1.4,0.2,0.3,344,4,1000,0.1,75,0.01
0.5,0.11,0.9,1.4,0.2,0.3,344,4,1000,0.1,0.01,0.1
0.5,0.11,0.9,1.4,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.475,1.4,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.2,1.4,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.1,1.4,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.05,1.4,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.0001,0.475,1.4,0.2,0.1,43.42,4,1000,0.1,75,0.01
0.5,0.11,0.475,1.4,0.2,0.1,43.42,4,1000,0.1,0.01,0.01
0.5,0.11,0.9,1.4,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.475,1.4,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.2,1.4,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.1,1.4,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.05,1.4,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.0001,0.475,0.7,0.2,0.3,344,4,1000,0.1,0.01,0.01
0.5,0.11,0.9,0.7,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.475,0.7,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.2,0.7,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.1,0.7,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.05,0.7,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.0001,0.475,0.7,0.2,0.1,43.42,4,1000,0.1,0.01,0.01
0.5,0.11,0.9,0.7,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.475,0.7,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.2,0.7,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.1,0.7,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.05,0.7,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.0001,0.475,0.25,0.2,0.3,344,4,1000,0.1,0.01,0.01
0.5,0.11,0.9,0.25,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.475,0.25,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.2,0.25,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.1,0.25,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.11,0.05,0.25,0.2,0.3,344,4,1000,0.1,500,0.1
0.5,0.0001,0.475,0.25,0.2,0.1,43.42,4,1000,0.1,0.01,0.01
0.5,0.11,0.9,0.25,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.475,0.25,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.2,0.25,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.1,0.25,0.2,0.1,43.42,4,1000,0.1,500,0.1
0.5,0.11,0.05,0.25,0.2,0.1,43.42,4,1000,0.1,500,0.1